Unnamed: 0,题目分类,题型,题干,选项,答案
1,通用题库,01单选题,2013年6月6日，习近平就做好安全生产工作作出重要指示，要始终把人民生命安全放在首位，以对党和人民高度负责的精神，完善制度、强化责任、加强管理、严格监管，把（    ）落到实处，切实防范重特大安全生产事故的发生。,A-安全生产|B-生命至上|C-安全奖惩机制|D-安全生产责任制,D
2,通用题库,01单选题,"2013年11月24日,习近平总书记在青岛中石化“11·22”东黄输油管线爆燃事故现场发表重要讲话:企业要抓紧建立健全安全生产责任体系,（    ）必须亲力亲为、亲自动手抓。",A-总经理|B-董事长|C-党政一把手|D-分管领导,C
3,通用题库,01单选题,"2015年12月24日,习近平总书记在十八届中央政治局常委会第127次会议上关于安全生产工作重要讲话指出:采取（    ）工作机制,推动安全生产关口前移。",A-风险分级管控、隐患排查治理双重预防|B-风险分级管控|C-隐患排查治理|D-现场督查,A
4,通用题库,01单选题,2016年4月19日，习近平总书记在网络安全和信息化工作座谈会上讲话，全天候全方位感知（    ）安全态势。知己知彼，才能百战不殆。没有意识到风险是最大的风险。,A-信息|B-数据|C-网络|D-科技,C
5,通用题库,01单选题,"2016年10月11日,习近平总书记在中央全面深化改革领导小组第二十八次会议上发表重要讲话：推进安全生产领域改革发展，关键是要作出（    ）安排，依靠严密的责任体系、严格的法治措施、有效的体制机制、有力的基础保障和完善的系统治理，解决好安全生产领域的突出问题",A-系统性|B-依法治安|C-责任落实|D-制度性,D
6,通用题库,01单选题,"2018年11月9日,习近平总书记为国家综合性消防救援队伍授旗指出:组建（    ）队伍,是党中央适应国家治理体系和治理能力现代化作出的战略决策,是立足我国国情和灾害事故特点、构建新时代国家应急救援体系的重要举措,对提高防灾减灾救灾能力、维护社会公共安全、保护人民生命财产安全具有重大意义。",A-国家综合性消防救援队伍|B-国家安全生产应急救援队伍|C-国家综合性应急救援队伍|D-国家应急救援队伍,A
7,通用题库,01单选题,习近平总书记在2019年11月29日中共中央政治局第十九次集体学习时的讲话提出，（    ）是国家治理体系和治理能力的重要组成部分，承担防范化解重大安全风险、及时应对处置各类灾害事故的重要职责，担负保护人民群众生命财产安全和维护社会稳定的重要使命。,A-防震救灾|B-应急管理|C-安全生产|D-生产建设,B
8,通用题库,01单选题,2013年11月24日，习近平总书记到青岛市考察黄岛经济开发区输油管线事故抢险工作发表重要讲话，要深化安全生产大检查，彻底排除隐患。要建立（    ），实行谁检查、谁签字、谁负责，做到不打折扣、不留死角、不走过场，务必见到成效。,A-安全生产检查工作责任制|B-安全生产责任制|C-企业主体责任制|D-党政主要负责人责任制,A
9,通用题库,01单选题,习近平总书记在党的二十大报告中指出：必须坚定不移贯彻（    ），把维护国家安全贯穿党和国家工作各方面全过程，确保国家安全和社会稳定。,A-社会和谐稳定观|B-总体国家安全观|C-安全发展观|D-科学发展观,B
10,通用题库,01单选题,2023年1月，习近平春节前夕视频连线看望慰问基层干部群众时指出，坚持（    ），预防为主，建立大安全大应急框架，完善公共安全体系，推动公共安全治理模式向事前预防转型。推进安全生产风险专项整治，加强重点行业、重点领域安全监管。,A-生命第一|B-安全第一|C-人民至上|D-安全至上,B
